"Date","Price","Open","High","Low","Vol.","Change %"
"07/02/2015","385.46","387.48","388.31","385.42","213.64M","-0.42%"
"07/01/2015","387.07","382.76","389.83","382.76","317.70M","1.51%"
"06/30/2015","381.31","385.46","386.11","380.83","364.21M","-1.26%"
"06/29/2015","386.17","390.78","391.23","384.01","381.28M","-2.69%"
"06/26/2015","396.85","395.18","398.20","393.12","228.56M","0.12%"
"06/25/2015","396.39","395.71","399.38","394.31","288.38M","-0.23%"
"06/24/2015","397.32","399.27","400.12","395.89","277.44M","-0.38%"
"06/23/2015","398.83","397.20","400.89","397.20","286.71M","1.16%"
"06/22/2015","394.25","388.31","394.41","388.31","332.27M","2.25%"
"06/19/2015","385.59","384.96","388.86","384.85","420.10M","0.36%"
"06/18/2015","384.22","382.74","384.22","378.07","309.68M","0.13%"
"06/17/2015","383.74","385.53","386.78","382.55","246.55M","-0.45%"
"06/16/2015","385.49","381.78","386.34","379.01","292.18M","0.64%"
"06/15/2015","383.02","387.70","387.70","382.85","249.45M","-1.63%"
"06/12/2015","389.38","392.77","393.96","387.21","228.74M","-0.92%"
"06/11/2015","393.00","389.70","395.55","389.30","268.61M","0.57%"
"06/10/2015","390.78","383.20","391.46","381.80","264.43M","1.80%"
"06/09/2015","383.87","384.85","385.36","380.10","239.36M","-0.39%"
"06/08/2015","385.39","388.95","389.69","385.39","200.38M","-0.93%"
"06/05/2015","389.00","391.63","391.63","387.02","258.53M","-0.93%"
"06/04/2015","392.65","395.29","395.72","388.55","270.05M","-0.83%"
"06/03/2015","395.93","396.72","400.03","395.76","275.72M","-0.13%"
"06/02/2015","396.45","400.87","401.05","395.54","276.28M","-1.03%"
"06/01/2015","400.57","401.08","403.44","399.33","230.75M","0.18%"
"05/29/2015","399.87","406.66","407.10","399.65","364.79M","-1.71%"
"05/28/2015","406.83","407.77","408.23","405.01","214.69M","-0.50%"
"05/27/2015","408.88","404.21","409.48","404.01","261.54M","1.31%"
"05/26/2015","403.61","407.63","408.87","402.70","243.33M","-0.73%"
